"id","type","test","heading","choices","is_visible","created","updated"
5,"free_text","Share your experience of this medicine.","User reported experience for ","",FALSE,"2016-09-13 17:21:54.172471",
2,"single_select","How effective is this medicine?","User reported effectiveness for ","""Moderately effective""",TRUE,"2016-09-13 17:21:54.172471",
42,"free_text","Any specific experiences or tips regarding side-effects of this medicine?","Users reported experiences regarding side-effects as ","",TRUE,"2017-03-16 11:26:02.769701",
47,"slider","Please rate this medicine on price?","Users reported worth with benefits of medicine as ","",FALSE,"2017-03-16 11:26:02.805214",
43,"multi_select","At what time of the day do you take the $name? If you are taking multiple doses, you can select multiple options.","Users reported time for ","",FALSE,"2017-03-16 11:26:02.773496",
48,"slider","Please rate this medicine on price?","Users reported time taken for improvement as ","",TRUE,"2017-03-16 11:26:02.809037",
40,"slider","How much was the improvement?","Users reported improvement as ","",TRUE,"2017-03-16 11:26:02.761846",
39,"single_select","What are you using this medicine for?","Users reported primary reason to take $name as ","",TRUE,"2017-03-16 11:26:02.751138",
1,"multi_select_autosuggest","What are the side effects you observed with this medicine?","User reported side-effects for ","",FALSE,"2016-09-13 17:21:54.172471",
44,"multi_select","How do you take this medicine?","Users reported consumption with ","",TRUE,"2017-03-16 11:26:02.786172",
3,"single_select","Do you find this medicine expensive?","User reported expensiveness for ","""Yes""",TRUE,"2016-09-13 17:21:54.172471",
4,"multi_select_autosuggest","What is the most common condition in which you have used this medicine?","User reported common conditions of use for ","",TRUE,"2016-09-13 17:21:54.172471",
45,"free_text","Any specific tips or dietary precautions with this medicine?","Users reported precautions as ","",TRUE,"2017-03-16 11:26:02.796458",
46,"free_text","Are there are any other specific tips or experiences related to $name that you would like to share?","Users reported tips as ","",FALSE,"2017-03-16 11:26:02.800155",
2,"single_select","How effective is this medicine?","User reported effectiveness for ","""Can't say""",TRUE,"2016-09-13 17:21:54.172471",
2,"single_select","How effective is this medicine?","User reported effectiveness for ","""Effective""",TRUE,"2016-09-13 17:21:54.172471",
6,"multi_select_autosuggest","What are the side effects you observed with this medicine?","User reported side-effects for ","",TRUE,"2016-11-29 19:26:03.032606",
41,"multi_select","What were the side-effects while using this medicine?","Users reported side-effects for ","",TRUE,"2017-03-16 11:26:02.765691",
2,"single_select","How effective is this medicine?","User reported effectiveness for ","""Not effective""",TRUE,"2016-09-13 17:21:54.172471",
3,"single_select","Do you find this medicine expensive?","User reported expensiveness for ","""No""",TRUE,"2016-09-13 17:21:54.172471",
